# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_exon_loss_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Bma000301.1	null.266	Bma000301.1	protein_coding	0	0	0	1640	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000302.1	null.267	Bma000302.1	protein_coding	185	178	213	4016	11	6	1	31	2952	0	146	0	1128	179	6	9	78	0	0	52	0	0	129	0
Bma000303.1	null.268	Bma000303.1	protein_coding	402	591	772	2390	17	41	19	16	1495	0	322	0	741	695	15	19	127	4	0	84	3	0	520	259
Bma000323.1	null.287	Bma000323.1	protein_coding	8	94	131	0	0	1	1	4	0	0	6	0	0	125	0	0	0	0	0	3	0	0	94	0
Bma000328.1	null.292	Bma000328.1	protein_coding	75	365	421	0	6	2	7	5	0	0	43	0	0	401	0	0	0	0	0	34	0	0	365	0
Bma000329.1	null.293	Bma000329.1	protein_coding	0	0	0	2067	0	0	0	0	1206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861
Bma000330.1	null.294	Bma000330.1	protein_coding	273	366	603	1603	11	26	12	6	203	0	223	0	1153	554	4	7	32	0	1	53	0	0	344	279
Bma000331.2	null.295	Bma000331.2	protein_coding	49	122	100	1631	2	3	1	0	747	0	29	0	900	96	0	8	20	0	0	17	0	0	114	0
Bma000332.1	null.297	Bma000332.1	protein_coding	134	394	554	0	17	13	15	12	0	0	102	0	0	503	0	0	0	0	0	37	0	0	394	0
Bma000333.1	null.298	Bma000333.1	protein_coding	0	0	0	258	0	0	0	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000335.1	null.301	Bma000335.1	protein_coding	33	97	125	354	1	2	2	5	176	0	20	0	207	115	1	4	34	0	0	9	1	1	72	0
Bma000336.1	null.302	Bma000336.1	protein_coding	5	26	35	543	0	0	2	1	0	0	2	0	4	32	0	0	6	1	1	3	0	0	21	543
Bma000353.1	null.317	Bma000353.1	protein_coding	0	0	0	775	0	0	0	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000354.1	null.318	Bma000354.1	protein_coding	87	111	134	443	3	17	3	0	0	0	70	0	473	114	4	3	51	0	0	27	0	0	88	0
Bma000355.1	null.319	Bma000355.1	protein_coding	0	0	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775
Bma000381.1	null.341	Bma000381.1	protein_coding	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660
Bma000382.1	null.342	Bma000382.1	protein_coding	25	22	50	565	2	7	4	0	282	0	19	0	288	41	2	0	9	0	0	7	2	1	18	0
Bma000383.1	null.343	Bma000383.1	protein_coding	0	0	0	660	0	0	0	0	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000386.1	null.346	Bma000386.1	protein_coding	302	288	406	1091	18	42	20	7	0	0	237	0	1176	342	17	10	101	0	0	67	0	0	230	0
Bma000413.2	null.376	Bma000413.2	protein_coding	107	194	158	456	1	6	4	8	0	0	80	0	501	146	10	3	54	0	0	31	0	0	162	0
Bma000434.1	null.398	Bma000434.1	protein_coding	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	413
Bma000435.1	null.399	Bma000435.1	protein_coding	31	118	99	165	3	1	5	3	0	0	17	0	178	91	0	7	12	0	0	13	0	0	112	0
Bma000444.1	null.407	Bma000444.1	protein_coding	0	0	0	1392	0	0	0	0	1392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000445.1	null.408	Bma000445.1	protein_coding	84	109	147	1052	3	12	5	4	229	0	60	0	849	131	7	3	34	0	0	26	1	0	93	0
Bma000454.3	null.415	Bma000454.3	protein_coding	111	222	164	1207	5	17	10	0	334	0	69	0	916	145	13	5	41	0	0	41	0	0	197	0
Bma000473.1	null.436	Bma000473.1	protein_coding	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618
Bma000474.1	null.437	Bma000474.1	protein_coding	12	60	33	513	0	1	0	0	0	0	5	0	523	32	3	0	13	0	0	7	0	0	53	0
Bma000475.1	null.438	Bma000475.1	protein_coding	0	0	0	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512
Bma000480.1	null.443	Bma000480.1	protein_coding	253	261	370	1282	6	38	11	10	0	0	182	0	1409	322	29	28	125	0	0	56	0	0	191	0
Bma000481.1	null.444	Bma000481.1	protein_coding	0	0	0	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2166
Bma000495.1	null.457	Bma000495.1	protein_coding	0	0	0	1423	0	0	0	0	1423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000496.1	null.458	Bma000496.1	protein_coding	0	0	0	1423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1423
Bma000497.2	null.459	Bma000497.2	protein_coding	43	114	153	1113	0	6	0	2	356	0	23	0	796	151	3	3	42	0	0	21	0	0	81	0
Bma000516.1	null.474	Bma000516.1	protein_coding	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	862
Bma000517.1	null.475	Bma000517.1	protein_coding	66	468	328	0	2	1	0	3	0	0	39	0	0	322	0	0	0	0	0	30	0	0	468	0
Bma000518.1	null.476	Bma000518.1	protein_coding	0	0	0	862	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000540.1	null.496	Bma000540.1	protein_coding	16	27	60	65	0	3	0	0	0	0	12	0	66	57	0	0	4	0	0	7	0	0	26	0
Bma000541.1	null.497	Bma000541.1	protein_coding	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168
Bma000565.1	null.521	Bma000565.1	protein_coding	0	0	0	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	723
Bma000566.1	null.522	Bma000566.1	protein_coding	81	175	249	218	3	8	3	2	0	0	52	0	256	235	5	7	34	0	0	25	0	0	149	0
Bma000599.1	null.552	Bma000599.1	protein_coding	96	230	201	69	2	8	5	4	0	0	77	0	84	185	2	2	19	0	0	21	0	0	219	0
Bma000602.1	null.555	Bma000602.1	protein_coding	0	0	0	962	0	0	0	0	962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000603.1	null.556	Bma000603.1	protein_coding	113	243	257	349	6	6	8	9	0	0	86	1	50	234	0	5	11	2	0	38	0	0	236	310
Bma000604.1	null.557	Bma000604.1	protein_coding	0	0	0	962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962
Bma000621.1	null.573	Bma000621.1	protein_coding	12	133	177	297	2	1	3	0	0	0	10	0	317	171	1	0	20	0	0	2	0	0	114	0
Bma000684.2	null.635	Bma000684.2	protein_coding	40	213	231	185	6	2	0	2	0	0	15	0	191	222	4	0	7	0	0	23	0	0	211	0
Bma000730.1	null.672	Bma000730.1	protein_coding	133	149	153	663	4	38	5	8	0	0	98	0	695	112	8	5	55	0	0	57	0	0	130	0
Bma000748.1	null.690	Bma000748.1	protein_coding	137	223	226	288	3	14	5	7	0	0	101	0	333	207	16	4	46	0	0	39	0	0	198	0
Bma000803.1	null.728	Bma000803.1	protein_coding	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627
Bma000804.2	null.730	Bma000804.2	protein_coding	192	285	449	476	6	32	12	12	201	1	148	0	312	401	5	3	45	0	0	62	1	0	255	0
Bma000814.1	null.739	Bma000814.1	protein_coding	0	0	0	1440	0	0	0	0	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000815.1	null.740	Bma000815.1	protein_coding	0	0	0	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1440
Bma000816.1	null.741	Bma000816.1	protein_coding	98	250	350	744	1	4	4	2	309	0	58	0	462	341	3	3	32	0	0	36	5	0	229	0
Bma000839.1	null.765	Bma000839.1	protein_coding	39	84	105	615	4	1	2	4	277	0	23	0	359	96	4	1	33	0	0	11	6	2	66	0
Bma000840.1	null.766	Bma000840.1	protein_coding	0	0	0	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	841
Bma000842.1	null.768	Bma000842.1	protein_coding	0	0	0	828	0	0	0	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000843.1	null.769	Bma000843.1	protein_coding	103	94	142	491	4	17	14	3	436	0	81	0	69	114	2	1	23	0	0	22	8	0	83	0
Bma000849.1	null.773	Bma000849.1	protein_coding	165	403	341	1266	11	36	13	10	0	0	113	0	1132	294	9	8	52	1	0	72	0	0	373	181
Bma000850.1	null.774	Bma000850.1	protein_coding	0	0	0	2175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2175
Bma000851.1	null.775	Bma000851.1	protein_coding	0	0	0	1608	0	0	0	0	1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	529
Bma000852.1	null.776	Bma000852.1	protein_coding	93	65	77	524	5	8	3	3	0	0	75	0	575	66	11	3	55	0	0	16	0	0	28	0
Bma000904.1	null.824	Bma000904.1	protein_coding	256	486	520	457	28	16	23	23	171	0	213	0	319	438	10	3	41	0	0	40	6	1	465	0
Bma000905.1	null.825	Bma000905.1	protein_coding	0	0	0	749	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000937.1	null.857	Bma000937.1	protein_coding	89	301	162	135	2	5	1	11	0	0	65	0	157	147	8	3	16	0	0	22	0	0	290	0
Bma000938.1	null.858	Bma000938.1	protein_coding	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687
Bma000963.1	null.878	Bma000963.1	protein_coding	0	0	0	578	0	0	0	0	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000964.1	null.879	Bma000964.1	protein_coding	13	151	229	186	1	1	1	0	41	0	7	0	0	226	0	0	1	2	0	5	0	0	151	145
Bma000972.1	null.885	Bma000972.1	protein_coding	0	0	0	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1070
Bma000973.1	null.886	Bma000973.1	protein_coding	0	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643
Bma000974.1	null.887	Bma000974.1	protein_coding	259	301	432	653	9	30	15	20	0	0	205	0	476	370	13	13	95	0	0	49	0	0	238	266
Bma000975.1	null.888	Bma000975.1	protein_coding	0	0	0	1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643
Bma000987.1	null.896	Bma000987.1	protein_coding	0	0	0	1244	0	0	0	0	1244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma000988.2	null.897	Bma000988.2	protein_coding	155	153	171	765	5	31	3	11	0	0	113	0	671	144	6	10	73	0	1	64	0	0	116	146
Bma000990.1	null.899	Bma000990.1	protein_coding	0	0	0	934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934
Bma000991.1	null.900	Bma000991.1	protein_coding	148	90	170	526	8	23	13	12	0	0	114	0	571	124	8	10	43	0	0	41	0	0	63	0
Bma000992.1	null.901	Bma000992.1	protein_coding	0	0	0	119	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001002.1	null.909	Bma001002.1	protein_coding	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	373
Bma001003.1	null.910	Bma001003.1	protein_coding	27	45	71	230	2	2	2	1	0	0	19	0	239	65	1	2	8	0	0	10	0	0	39	0
Bma001083.1	null.992	Bma001083.1	protein_coding	73	31	50	97	5	7	7	5	0	0	61	0	108	29	0	8	17	1	0	9	0	0	27	1
Bma001084.1	null.993	Bma001084.1	protein_coding	0	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250
Bma001095.1	null.1003	Bma001095.1	protein_coding	59	231	225	640	1	5	1	7	86	0	29	0	557	215	1	0	17	0	0	33	2	3	226	0
Bma001096.1	null.1004	Bma001096.1	protein_coding	0	0	0	998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	998
Bma001137.1	null.1038	Bma001137.1	protein_coding	0	0	0	612	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001138.1	null.1039	Bma001138.1	protein_coding	0	0	0	612	0	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001139.1	null.1040	Bma001139.1	protein_coding	59	77	74	402	4	4	2	1	0	0	36	0	454	65	4	16	52	0	0	13	0	0	45	0
Bma001192.1	null.1096	Bma001192.1	protein_coding	88	469	331	67	2	13	2	2	0	0	42	0	97	317	4	5	34	0	0	49	0	0	448	0
Bma001216.1	null.1122	Bma001216.1	protein_coding	0	0	0	862	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001217.1	null.1124	Bma001217.1	protein_coding	0	0	0	862	0	0	0	0	862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001296.1	null.1187	Bma001296.1	protein_coding	89	56	108	498	7	13	7	5	241	0	60	0	277	86	10	2	20	0	0	26	3	2	46	0
Bma001297.1	null.1188	Bma001297.1	protein_coding	0	0	0	749	0	0	0	0	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001298.1	null.1189	Bma001298.1	protein_coding	0	0	0	253	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001306.1	null.1195	Bma001306.1	protein_coding	0	0	0	1914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1914
Bma001307.1	null.1196	Bma001307.1	protein_coding	228	400	563	725	22	7	23	1	255	0	198	0	0	512	0	0	9	4	1	25	8	1	398	470
Bma001402.1	null.1271	Bma001402.1	protein_coding	23	133	135	49	1	1	2	5	0	0	16	1	0	126	0	0	0	0	0	7	0	0	132	49
Bma001407.2	null.1276	Bma001407.2	protein_coding	0	0	0	1857	0	0	0	0	1857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001408.1	null.1277	Bma001408.1	protein_coding	137	587	747	386	14	17	7	6	376	0	77	0	33	707	3	1	24	0	0	56	2	0	568	0
Bma001409.1	null.1278	Bma001409.1	protein_coding	43	104	102	652	3	1	3	2	1	0	22	0	709	96	12	6	63	0	0	7	0	0	64	0
Bma001410.1	null.1279	Bma001410.1	protein_coding	0	0	0	901	0	0	0	0	901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001482.1	null.1329	Bma001482.1	protein_coding	15	58	58	1739	0	0	1	1	1054	0	6	0	703	57	0	8	12	0	0	1	0	0	48	0
Bma001483.1	null.1330	Bma001483.1	protein_coding	80	496	429	212	4	0	7	7	49	0	55	0	0	412	0	0	0	0	0	26	0	0	496	163
Bma001492.1	null.1336	Bma001492.1	protein_coding	0	0	0	1937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1937
Bma001493.1	null.1338	Bma001493.1	protein_coding	61	52	65	2625	1	8	1	3	2539	0	49	0	103	58	2	3	26	0	0	17	4	0	40	0
Bma001547.1	null.1373	Bma001547.1	protein_coding	0	0	0	163	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001548.1	null.1374	Bma001548.1	protein_coding	24	27	19	93	0	6	0	2	0	0	17	0	102	15	2	0	14	0	0	12	0	0	20	0
Bma001576.1	null.1391	Bma001576.1	protein_coding	0	0	0	1144	0	0	0	0	0	0	0	0	1144	0	0	0	0	0	0	0	0	0	0	0
Bma001628.1	null.1438	Bma001628.1	protein_coding	0	0	0	1238	0	0	0	0	1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001629.1	null.1439	Bma001629.1	protein_coding	152	182	254	650	7	3	7	16	288	0	98	0	417	231	5	13	67	0	0	58	1	2	143	0
Bma001637.1	null.1448	Bma001637.1	protein_coding	67	326	339	295	5	12	6	4	0	0	37	0	310	315	5	3	21	0	0	25	0	0	319	0
Bma001648.1	null.1459	Bma001648.1	protein_coding	0	0	0	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1015
Bma001649.1	null.1460	Bma001649.1	protein_coding	96	138	154	627	1	16	1	5	380	0	73	0	276	142	3	0	49	0	0	39	2	4	108	0
Bma001659.1	null.1468	Bma001659.1	protein_coding	275	570	674	1042	15	26	33	36	158	0	200	0	932	581	13	5	70	0	0	73	5	2	538	0
Bma001660.2	null.1469	Bma001660.2	protein_coding	0	0	0	2560	0	0	0	0	2560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma001673.1	null.1477	Bma001673.1	protein_coding	46	133	227	244	1	9	4	0	244	0	23	0	0	214	0	0	8	0	0	22	5	2	131	0
Bma001689.1	null.1487	Bma001689.1	protein_coding	329	430	445	571	6	39	19	37	0	0	240	0	673	376	15	25	121	0	0	115	0	0	368	0
Bma001690.1	null.1488	Bma001690.1	protein_coding	0	0	0	1735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1735
Bma001747.2	null.1529	Bma001747.2	protein_coding	115	197	241	1434	4	13	12	2	102	0	70	0	1399	219	16	11	76	0	0	39	5	2	155	0
Bma001795.1	null.1557	Bma001795.1	protein_coding	250	466	539	741	12	34	11	9	0	0	192	1	736	483	8	10	53	1	1	61	0	0	435	52
Bma001802.1	null.1560	Bma001802.1	protein_coding	29	83	70	132	0	2	1	7	0	0	20	0	165	62	3	1	43	0	0	9	0	0	54	0
Bma001870.1	null.1603	Bma001870.1	protein_coding	16	15	15	723	0	0	1	2	723	0	16	0	0	12	0	0	5	0	0	1	1	0	15	0
Bma001891.1	null.1617	Bma001891.1	protein_coding	115	251	277	431	2	9	8	6	0	0	86	0	454	257	1	8	27	0	0	39	0	0	237	0
Bma002093.1	null.1737	Bma002093.1	protein_coding	29	76	99	269	2	0	3	4	0	0	16	0	290	91	11	0	19	0	0	7	0	0	66	0
Bma002363.1	null.1878	Bma002363.1	protein_coding	251	292	399	876	9	51	7	11	0	0	169	0	847	348	13	31	127	1	0	80	0	0	226	139
Bma002608.1	null.2008	Bma002608.1	protein_coding	125	368	706	2228	4	3	8	3	1823	0	89	0	0	688	0	0	0	0	0	41	0	0	368	405
Bma002609.1	null.2009	Bma002609.1	protein_coding	126	425	810	2071	6	8	7	0	1932	0	96	0	157	793	0	0	31	0	0	26	9	2	405	0
Bma002617.1	null.2014	Bma002617.1	protein_coding	58	91	81	37	0	9	1	0	0	0	41	0	57	73	6	1	15	0	0	15	0	0	78	0
Bma002620.1	null.2016	Bma002620.1	protein_coding	0	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392
Bma002621.1	null.2017	Bma002621.1	protein_coding	39	50	41	262	2	3	2	1	0	0	30	0	273	36	0	5	13	0	0	15	0	0	44	0
Bma002653.1	null.2041	Bma002653.1	protein_coding	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845
Bma002654.1	null.2042	Bma002654.1	protein_coding	0	0	0	845	0	0	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002655.1	null.2043	Bma002655.1	protein_coding	82	425	250	88	6	1	8	1	0	0	55	0	89	235	0	8	12	0	0	21	0	0	415	17
Bma002671.1	null.2051	Bma002671.1	protein_coding	17	68	68	231	0	3	0	2	165	0	6	0	87	67	2	3	20	0	0	7	1	1	51	0
Bma002673.2	null.2053	Bma002673.2	protein_coding	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305
Bma002674.1	null.2054	Bma002674.1	protein_coding	0	0	0	305	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002714.1	null.2081	Bma002714.1	protein_coding	1	14	15	444	0	0	0	0	444	0	1	0	0	15	0	0	1	0	0	0	1	0	14	0
Bma002718.1	null.2083	Bma002718.1	protein_coding	0	0	0	1013	0	0	0	0	1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002719.1	null.2084	Bma002719.1	protein_coding	106	215	290	402	2	16	5	6	0	0	70	0	457	268	9	9	53	0	0	34	0	0	178	0
Bma002736.1	null.2091	Bma002736.1	protein_coding	53	157	234	372	4	10	3	3	0	0	31	0	374	218	1	0	10	0	0	22	0	0	156	0
Bma002738.1	null.2092	Bma002738.1	protein_coding	27	280	127	223	0	3	0	0	223	0	20	0	0	125	0	0	0	0	0	8	0	0	280	0
Bma002739.1	null.2093	Bma002739.1	protein_coding	0	0	0	657	0	0	0	0	657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002761.1	null.2107	Bma002761.1	protein_coding	0	0	0	978	0	0	0	0	978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002762.1	null.2108	Bma002762.1	protein_coding	101	79	93	707	4	3	4	4	690	0	83	0	34	80	6	0	29	0	0	10	5	3	65	0
Bma002764.1	null.2109	Bma002764.1	protein_coding	87	161	167	960	5	8	6	5	0	0	68	1	951	146	5	11	50	0	1	19	0	0	128	56
Bma002765.2	null.2110	Bma002765.2	protein_coding	0	0	0	1375	0	0	0	0	1375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002766.1	null.2111	Bma002766.1	protein_coding	10	16	16	575	0	1	1	1	506	0	6	0	76	14	3	0	6	0	0	2	0	1	11	0
Bma002771.1	null.2113	Bma002771.1	protein_coding	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562
Bma002772.1	null.2114	Bma002772.1	protein_coding	37	78	57	390	5	0	7	2	0	0	28	0	428	45	5	6	40	0	0	3	0	0	51	0
Bma002776.1	null.2118	Bma002776.1	protein_coding	225	128	220	501	23	10	20	24	0	0	195	0	517	159	5	3	19	0	0	52	0	0	120	0
Bma002787.1	null.2129	Bma002787.1	protein_coding	0	0	0	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279
Bma002825.1	null.2156	Bma002825.1	protein_coding	97	371	441	516	2	15	7	1	354	0	51	0	177	418	3	2	14	0	0	44	1	1	360	0
Bma002878.1	null.2198	Bma002878.1	protein_coding	0	0	0	1807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807
Bma002879.1	null.2199	Bma002879.1	protein_coding	0	0	0	1776	0	0	0	0	1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma002887.3	null.2205	Bma002887.3	protein_coding	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	502
Bma002888.1	null.2206	Bma002888.1	protein_coding	27	130	139	206	3	3	3	2	67	0	16	0	155	128	9	0	9	0	0	3	0	0	123	0
Bma002889.1	null.2207	Bma002889.1	protein_coding	0	0	0	502	0	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bma003014.1	null.2298	Bma003014.1	protein_coding	50	66	54	949	1	4	1	2	0	0	33	0	933	51	0	6	20	0	1	18	0	0	58	29
